"resistance_id","resistance","contact_material_1_id","contact_material_2_id","mat_1_ra","mat_2_ra","mat_1_rz","mat_2_rz","mat_1_rsm","mat_2_rsm","mat_1_rmr","mat_2_rmr","ambient_pressure","interface_temperature","contact_pressure","heat_flux","description","ref_id"
152,354.998,9,4,0.000014,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1323420.0,0.0,稳态法,5
153,324.693,9,4,0.000014,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1762080.0,0.0,稳态法,5
154,295.831,9,4,0.000014,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2215610.0,0.0,稳态法,5
155,271.682,9,4,0.000014,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2631970.0,0.0,稳态法,5
156,258.493,9,4,0.000014,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3092940.0,0.0,稳态法,5
157,242.044,9,4,0.000014,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3509290.0,0.0,稳态法,5
158,235.618,9,4,0.000014,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3955390.0,0.0,稳态法,5
159,231.52,9,4,0.000014,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4371750.0,0.0,稳态法,5
160,223.738,9,4,0.000014,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4847580.0,0.0,稳态法,5
161,225.634,9,4,0.000014,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,5271380.0,0.0,稳态法,5
174,682.688,9,4,0.000014,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,460967.0,0.0,稳态法,5
175,619.182,9,4,0.000014,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,921933.0,0.0,稳态法,5
176,566.486,9,4,0.000014,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1338290.0,0.0,稳态法,5
177,522.056,9,4,0.000014,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1784390.0,0.0,稳态法,5
178,484.088,9,4,0.000014,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2230480.0,0.0,稳态法,5
179,467.102,9,4,0.000014,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2654280.0,0.0,稳态法,5
180,429.433,9,4,0.000014,0.000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3115240.0,0.0,稳态法,5
